1985	0.257239231	2.217943243	49.42342013	165.2709821	274.0739047	455.6268385	583.5973306	382.6370899	204.1996426	138.7385894	83.92993766	44.98380489	22.62308617	13.91463075	9.361136645	4.149677204	0.891522277	0.059078512	0.028200023	0
1986	0.00	4.31	31.14	109.77	256.41	561.31	577.39	307.56	194.08	98.56	46.21	34.60	21.83	8.94	7.13	3.79	2.17	0.58	0.10	0.00
1987	0.52	27.20	100.75	221.85	460.56	748.16	657.43	399.10	185.05	101.36	41.91	33.87	19.96	11.18	8.07	4.26	1.88	0.86	0.25	0.03
1988	0.00	8.44	79.35	191.29	368.62	616.62	543.88	314.98	217.85	85.29	48.63	32.53	18.69	11.97	7.56	4.76	1.60	0.79	0.10	0.03
1989	0.00	6.23	86.58	445.32	336.54	552.47	470.80	274.02	187.82	74.73	39.86	27.10	16.84	9.66	8.51	3.99	2.45	0.94	0.16	0.03
1990	0.27	9.31	44.26	346.76	618.59	377.90	371.00	200.27	130.48	77.53	32.36	21.45	14.34	8.81	5.95	4.17	2.60	0.92	0.31	0.10
1991	0.00	1.75	28.55	84.11	398.11	364.16	180.21	112.92	67.55	35.19	22.26	13.36	7.23	5.53	4.06	2.18	1.28	0.71	0.32	0.25
1992	0.00	4.47	33.21	59.64	110.28	190.14	150.92	63.41	34.12	17.51	9.45	5.40	3.35	1.77	2.42	1.61	0.27	0.53	0.12	0.18
1993	0.00	2.38	9.08	120.51	139.47	178.70	160.20	89.53	32.25	16.07	7.35	4.24	2.22	1.19	1.02	0.69	0.50	0.17	0.11	0.05
1994	0.00	0.00	2.54	21.12	99.22	106.04	85.38	43.27	20.00	5.40	3.95	1.40	1.24	1.00	0.47	0.26	0.00	0.00	0.00	0.00
1995	0.00	0.00	2.01	10.75	41.91	57.51	59.86	49.93	27.46	8.32	2.28	0.54	0.09	0.04	0.00	0.00	0.00	0.00	0.00	0.00
1996	0.31	46.28	99.54	125.56	133.45	130.41	97.08	39.50	16.19	4.50	1.94	2.23	0.52	0.25	0.21	0.17	0.00	0.00	0.00	0.00
1997	0.08	6.52	40.43	55.14	65.30	84.43	79.32	48.72	18.95	6.05	2.68	1.82	0.56	0.18	0.16	0.13	0.00	0.00	0.00	0.00
1998	0.55	10.34	11.01	54.06	70.94	69.47	76.46	78.75	47.53	19.36	9.81	3.25	1.62	0.43	0.48	0.13	0.00	0.00	0.00	0.00
1999	8.43	42.46	35.10	22.49	66.74	104.51	104.87	111.52	107.31	65.32	30.52	13.02	6.51	1.89	1.16	0.88	0.51	0.42	0.18	0.11
2000	4.76	54.56	149.32	72.54	34.98	67.02	78.01	64.57	59.16	47.19	27.93	9.54	4.04	0.90	1.22	0.63	0.39	0.19	0.00	0.11
2001	5.22	100.97	275.88	112.98	28.85	36.35	73.86	62.44	58.43	45.04	34.57	16.02	5.54	2.77	1.96	1.05	0.72	0.37	0.18	0.04
2002	0.31	37.86	98.69	150.59	56.50	41.33	51.94	53.82	38.25	24.42	20.03	12.56	4.01	2.01	0.53	0.70	0.21	0.10	0.04	0.00
2003	0.22	7.86	74.56	95.08	188.24	72.50	46.06	49.75	39.97	18.07	13.76	11.46	4.51	2.17	1.03	0.55	0.25	0.13	0.19	0.04
2004	7.05	17.71	29.15	77.80	96.53	161.93	51.28	29.34	19.92	15.55	9.21	8.20	4.49	2.71	0.78	0.33	0.00	0.12	0.00	0.00
2005	5.07	131.19	223.16	78.49	149.66	163.83	143.87	55.10	31.86	16.51	13.68	8.24	6.22	4.66	3.98	2.03	0.53	0.92	0.12	0.00
2007	16.91	27.76	66.90	320.19	193.86	89.64	144.47	115.49	82.61	16.80	10.94	5.06	4.37	3.82	2.15	2.12	1.66	0.99	0.31	0.26
2008	10.72	132.94	98.21	101.69	238.98	116.46	91.95	117.02	70.14	42.58	14.80	7.29	3.80	3.32	2.04	2.24	0.63	0.23	0.19	0.26
2009	7.04	110.97	187.96	79.38	75.16	129.80	45.72	34.95	38.94	26.53	16.79	6.36	1.75	2.04	2.46	2.74	1.43	1.24	0.40	0.12
2010	3.56	125.19	165.59	191.20	85.36	146.90	138.16	40.60	28.07	18.36	12.12	8.91	3.26	1.23	1.51	1.96	1.45	0.52	0.50	0.00
2011	0.00	79.15	207.66	209.45	189.29	116.47	97.00	66.68	20.59	13.17	10.89	10.52	3.07	0.97	0.94	1.33	1.23	1.04	0.58	0.26
2012	33.28	44.10	193.81	234.09	159.08	173.32	114.51	71.45	46.93	22.83	12.02	7.08	4.48	2.06	0.80	1.38	1.40	0.92	0.27	0.21
2013	18.93	164.34	126.91	267.13	219.65	187.01	182.65	98.24	53.39	33.13	17.57	12.09	5.10	3.14	1.71	1.33	0.88	0.86	0.30	0.25
2014	8.50	302.99	392.74	126.99	175.92	196.79	140.46	121.48	67.11	37.58	27.12	12.16	8.03	7.21	3.43	1.45	1.29	1.00	0.60	0.17
2016	1.78	76.28	285.11	315.37	75.30	46.82	41.93	30.35	16.45	12.03	6.15	3.73	1.97	1.50	0.19	0.23	0.07	0.11	0.01	0.04
