1960	21373
1961	16373
1962	16192
1963	25719
1964	38567
1965	53261
1966	65011
1967	94413
1968	73167
1969	79437
1970	66653
1971	67888
1972	59361
1973	52843
1974	46297
1975	43221
1976	51825
1977	43981
1978	50028
1979	48569
1980	49086
1981	50158
1982	50337
1983	37720
1984	36063
1985	54212
1986	64570
1987	55012
1988	40835
1989	43369
1990	32501
1991	34681
1992	13350
1993	17122
1994	7378
1995	637
1996	913
1997	1401
1998	1618
1999	2565
2000	5176
2001	5739
2002	4870
2003	8727
2004	6158
2005	4110
2006	2828
2007	3606
2008	2515
2009	3015
2010	2898
2011	2363
2012	2148
2013	3016
2014	2265
2015	1149
2016	1666
2017	1172
